DATE,UMCSENT
2019-01-01,94.4666666666666667
2019-04-01,98.4666666666666667
2019-07-01,93.8000000000000000
2019-10-01,97.2000000000000000
2020-01-01,96.6333333333333333
2020-04-01,74.0666666666666667
2020-07-01,75.6666666666666667
2020-10-01,79.8000000000000000
2021-01-01,80.2333333333333333
2021-04-01,85.5666666666666667
2021-07-01,74.7666666666666667
2021-10-01,69.9000000000000000
2022-01-01,63.1333333333333333
2022-04-01,57.8666666666666667
2022-07-01,56.1000000000000000
2022-10-01,58.8000000000000000
2023-01-01,64.6000000000000000
2023-04-01,62.3000000000000000
2023-07-01,69.6000000000000000
2023-10-01,64.9333333333333333
