DATE,UNRATE
2019-01-01,3.8666666666666667
2019-04-01,3.6333333333333333
2019-07-01,3.6000000000000000
2019-10-01,3.6000000000000000
2020-01-01,3.8333333333333333
2020-04-01,13.0000000000000000
2020-07-01,8.8000000000000000
2020-10-01,6.7333333333333333
2021-01-01,6.2333333333333333
2021-04-01,5.9333333333333333
2021-07-01,5.0666666666666667
2021-10-01,4.1666666666666667
2022-01-01,3.8000000000000000
2022-04-01,3.6333333333333333
2022-07-01,3.5333333333333333
2022-10-01,3.5666666666666667
2023-01-01,3.5000000000000000
2023-04-01,3.5666666666666667
2023-07-01,3.7000000000000000
2023-10-01,3.7333333333333333
